Pnumber	MeanLearnSpa1	BlocksinAdap	AdapSuccess	AvgExp	PretestScore	EnglishAoA	SRPEnglish	FreqEnglish	MeanLearnSpa2	Lextale	Group	Difference_Error	Difference_RT
701	100	4	0.978260869565217	8.8695652173913	0.521428571428571	12	5.5	88.75	1235.30434782609	68	Consolidation	0.0454545454545455	646.348504879329
702	100	3	0.978260869565217	8.43478260869565	0.521428571428571	8	6.25	55	1242.08695652174	92	Consolidation	-0.0434782608695652	547.85260682029
703	100	2	1	8	0.521428571428571	10	5.75	56.25	1343.47826086957	86	Consolidation	0.130434782608696	11.6688563683253
704	100	2	1	8	0.521428571428571	9	5.75	38.75	969.260869565217	88	Consolidation	0	-147.832277861512
705	100	4	0.91304347826087	8.8695652173913	0.521428571428571	12	7	61.25	1380.26086956522	66	Consolidation	0	-524.078720940416
706	91.304347826087	8	0.717391304347826	10.6086956521739	0.521428571428571	6	5.5	62.5	1263.52173913043	81	Consolidation	0.05	191.070483282546
707	95.6521739130435	7	0.782608695652174	10.1739130434783	0.521428571428571	11	5.25	65	2048.34782608696	80	Consolidation	0.05175983436853	73.5681766294213
708	91.304347826087	12	0.739130434782609	12.3478260869565	0.521428571428571	7	5	90	1466.95652173913	83	Consolidation	0	-269.165434983606
709	95.6521739130435	6	0.847826086956522	9.73913043478261	0.521428571428571	12	5.25	56.25	2206.73913043478	57	Consolidation	0.0476190476190476	1453.83423801876
710	95.6521739130435	3	0.978260869565217	8.43478260869565	0.521428571428571	12	5.75	55	2785.13043478261	85	Consolidation	0.0454545454545455	1582.23370964973
711	95.6521739130435	3	0.934782608695652	8.43478260869565	0.521428571428571	9	6.5	81.25	2092.65217391304	92	Consolidation	0.05	265.655244884036
712	86.9565217391304	4	0.891304347826087	8.8695652173913	0.521428571428571	12	4.75	23.75	3544.13043478261	62	Consolidation	0.0869565217391304	421.689174444065
713	100	9	0.804347826086957	11.0434782608696	0.521428571428571	10	6.25	103.75	1482.17391304348	82	Consolidation	0.0041407867494824	-20.0759471269893
714	100	4	0.934782608695652	8.8695652173913	0.521428571428571	14	4.75	42.5	1489.21739130435	67	Consolidation	-0.0434782608695652	855.955979113734
715	82.6086956521739	8	0.565217391304348	10.7391304347826	0.521428571428571	11	6.75	92.5	4559.86956521739	72	Consolidation	0	-96.4996334535305
716	100	8	0.695652173913043	10.6086956521739	0.521428571428571	10	6.25	60	3309.78260869565	75	Consolidation	0.166666666666667	1518.18902390275
717	100	2	1	8	0.521428571428571	12	5.75	10	836.478260869565	80	Consolidation	0.0454545454545455	27.0671551525249
718	91.304347826087	9	0.456521739130435	11.3913043478261	0.521428571428571	10	5.5	112.5	1847.21739130435	52	Consolidation	0.0625	963.740797376888
719	86.9565217391304	8	0.695652173913043	10.6086956521739	0.521428571428571	10	3.75	42.5	2972.47826086957	67	Consolidation	0.0815217391304348	NA
720	100	2	1	8	0.521428571428571	10	6	52.5	1861.60869565217	85	Consolidation	0.00197628458498024	2650.81267682907
721	100	2	1	8	0.521428571428571	10	5.25	33.5	7876.73913043478	82	Consolidation	0	-213.175724897859
722	95.6521739130435	2	1	8	0.521428571428571	11	6.25	136.75	910.869565217391	87	Consolidation	0	368.065622161666
724	100	4	0.91304347826087	8.8695652173913	0.521428571428571	11	6.75	48.75	2562.17391304348	88	Consolidation	0	70.6833897763719
725	95.6521739130435	4	0.956521739130435	8.8695652173913	0.521428571428571	10	6	22.5	2356.26086956522	60	Consolidation	0.0434782608695652	612.0749023132
726	100	8	0.91304347826087	10.6086956521739	0.521428571428571	13	4.75	55	1158.52173913043	63	NoConsolidation	0.0869565217391304	344.203713891289
727	91.304347826087	5	0.782608695652174	9.30434782608696	0.521428571428571	10	5.75	37.5	1048.17391304348	72	NoConsolidation	0	-256.820757390147
728	100	3	0.956521739130435	8.43478260869565	0.521428571428571	7	5.75	152	1150.60869565217	92	NoConsolidation	-0.0434782608695652	321.135933773451
729	95.6521739130435	5	0.847826086956522	9.30434782608696	0.521428571428571	12	4.5	22.5	1309.86956521739	71	NoConsolidation	0	-0.369834370942328
730	100	8	0.891304347826087	10.6086956521739	0.521428571428571	11	5.5	157.5	1163.26086956522	67	NoConsolidation	0	1778.52950516869
731	95.6521739130435	7	0.695652173913043	10.1739130434783	0.521428571428571	12	5.25	65	2357.21739130435	73	NoConsolidation	0	-357.027512968321
732	95.6521739130435	6	0.934782608695652	9.73913043478261	0.521428571428571	11	5.5	22.5	4869.69565217391	76	NoConsolidation	0.0952380952380952	1120.24823166713
734	91.304347826087	10	0.760869565217391	11.4782608695652	0.521428571428571	12	2.25	37.5	1076.4347826087	51	NoConsolidation	0	673.489867699065
735	91.304347826087	6	0.847826086956522	9.73913043478261	0.521428571428571	11	5.5	0	1527.73913043478	66	NoConsolidation	0.00652173913043479	-594.410824211379
736	95.6521739130435	3	0.91304347826087	8.43478260869565	0.521428571428571	10	5.25	138.75	1554.17391304348	66	NoConsolidation	0	NA
737	65.2173913043478	6	0.456521739130435	10.0869565217391	0.521428571428571	8	6	300	3741.04347826087	70	NoConsolidation	0	232.159078494408
738	91.304347826087	4	0.717391304347826	8.8695652173913	0.521428571428571	10	4.25	45	2996.30434782609	51	NoConsolidation	-0.0476190476190476	-354.459010357473
739	95.6521739130435	3	0.891304347826087	8.43478260869565	0.521428571428571	12	3.75	48.75	2286.21739130435	65	NoConsolidation	0.0434782608695652	37.7728488998467
740	100	2	1	8	0.521428571428571	14	4.5	71.25	1666.26086956522	73	NoConsolidation	0	-1225.63775688599
741	91.304347826087	6	0.673913043478261	9.73913043478261	0.521428571428571	14	6.25	48.75	1833.08695652174	83	NoConsolidation	0.142857142857143	403.455077222747
742	86.9565217391304	12	0.652173913043478	12.3478260869565	0.521428571428571	10	6	73.75	2219.21739130435	66	NoConsolidation	0.0454545454545455	645.070382481637
